krs1214;name;krankenhausbetten2014;t_typ
9161000;Ingolstadt;97,5;5
9162000;München, Landeshauptstadt;80,4;5
9172000;Berchtesgadener Land;58,8;3
9173000;Bad Tölz-Wolfratshausen;50,6;3
9174000;Dachau;33,4;3
9175000;Ebersberg;24,3;3
9176000;Eichstätt;35,3;2
9177000;Erding;30,8;3
9178000;Freising;20,7;3
9179000;Fürstenfeldbruck;18,1;5
9180000;Garmisch-Partenkirchen;149,1;3
9181000;Landsberg am Lech;40,6;3
9182000;Miesbach;46,8;3
9186000;Pfaffenhofen a.d.Ilm;27,3;2
9183000;Mühldorf a.Inn;35,6;2
9184000;München;38,5;5
9185000;Neuburg-Schrobenhausen;47,9;2
9362000;Regensburg;193,7;5
9187000;Rosenheim;108,1;3
9188000;Starnberg;99;5
9189000;Traunstein;50,1;3
9190000;Weilheim-Schongau;36,6;3
9261000;Landshut;180,7;2
9262000;Passau;151,1;2
9263000;Straubing;94,5;2
9363000;Weiden i.d.OPf.;170,7;1
9271000;Deggendorf;95,3;2
9272000;Freyung-Grafenau;52;1
9273000;Kelheim;32,8;2
9561000;Ansbach;215,7;2
9274000;Landshut;12,2;2
9275000;Passau;34,1;2
9276000;Regen;41,2;1
9277000;Rottal-Inn;52,2;1
9278000;Straubing-Bogen;42,9;2
9279000;Dingolfing-Landau;26,8;2
9361000;Amberg;134,8;1
9371000;Amberg-Sulzbach;20,1;1
9372000;Cham;54,7;1
9373000;Neumarkt i.d.OPf.;40,3;2
9374000;Neustadt a.d.Waldnaab;19,8;1
9375000;Regensburg;12,3;2
9376000;Schwandorf;39,9;2
9377000;Tirschenreuth;39,6;1
9461000;Bamberg;140,8;3
9462000;Bayreuth;191,6;2
9463000;Coburg;124,2;2
9464000;Hof;100,4;1
9565000;Schwabach;42,6;2
9471000;Bamberg;20,8;3
9472000;Bayreuth;11,9;2
9562000;Erlangen;204,7;5
9473000;Coburg;10,7;2
9474000;Forchheim;27,2;2
9475000;Hof;58,7;1
9563000;Fürth;66,7;5
9476000;Kronach;41,5;1
9477000;Kulmbach;68,9;1
9478000;Lichtenfels;112,6;1
9479000;Wunsiedel i.Fichtelgebirge;55,6;1
9571000;Ansbach;30;2
9572000;Erlangen-Höchstadt;8,7;3
9573000;Fürth;0;3
9574000;Nürnberger Land;59,1;3
9575000;Neustadt a.d.Aisch-Bad Windsheim;46,9;1
9576000;Roth;21,8;2
9577000;Weißenburg-Gunzenhausen;45,4;1
9661000;Aschaffenburg;118,5;3
9662000;Schweinfurt;178,3;2
9663000;Würzburg;188,1;5
9775000;Neu-Ulm;23,2;3
9671000;Aschaffenburg;8,8;3
9672000;Bad Kissingen;85,5;1
9673000;Rhön-Grabfeld;137,6;1
9674000;Haßberge;28,5;1
9675000;Kitzingen;27,7;2
9676000;Miltenberg;23,4;2
12053000;Frankfurt (Oder), Stadt;161,7;4
9677000;Main-Spessart;52,8;2
9678000;Schweinfurt;53;2
9771000;Aichach-Friedberg;23,2;3
9679000;Würzburg;8,2;2
9761000;Augsburg;105,5;5
9762000;Kaufbeuren;149,5;2
9763000;Kempten (Allgäu);86,9;3
9764000;Memmingen;129,4;2
9772000;Augsburg;12,5;3
9773000;Dillingen a.d.Donau;33,9;2
9774000;Günzburg;86,4;2
9776000;Lindau (Bodensee);62,2;3
9777000;Ostallgäu;32,4;2
9778000;Unterallgäu;28,8;2
9779000;Donau-Ries;38,9;2
9780000;Oberallgäu;33,5;3
10041000;Regionalverband Saarbrücken;79,9;5
10042000;Merzig-Wadern;46,7;1
10043000;Neunkirchen;54;4
10044000;Saarlouis;50,1;4
10045000;Saarpfalz-Kreis;100,3;3
16054000;Suhl, Stadt;164,9;1
10046000;St. Wendel;26,7;1
11000000;Berlin, Stadt;57,7;5
12051000;Brandenburg an der Havel, Stadt;122,9;4
12052000;Cottbus, Stadt;115,5;4
12060000;Barnim;67,2;4
12061000;Dahme-Spreewald;62,1;4
16055000;Weimar, Stadt;87,4;4
12062000;Elbe-Elster;44,3;1
12063000;Havelland;31;4
16056000;Eisenach, Stadt;96,5;1
12064000;Märkisch-Oderland;35,3;4
12065000;Oberhavel;49,9;4
12066000;Oberspreewald-Lausitz;46;4
12067000;Oder-Spree;76,8;4
12068000;Ostprignitz-Ruppin;119,9;1
12069000;Potsdam-Mittelmark;33,4;4
12070000;Prignitz;46;1
12071000;Spree-Neiße;45,8;4
12072000;Teltow-Fläming;31,1;4
14521000;Erzgebirgskreis;59,3;4
12073000;Uckermark;62,2;4
13003000;Rostock;73;5
13004000;Schwerin;159,5;4
14713000;Leipzig, Stadt;73,5;5
13071000;Mecklenburgische Seenplatte;62,7;1
13072000;Landkreis Rostock;38,2;1
13073000;Vorpommern-Rügen;54,4;1
13074000;Nordwestmecklenburg;37,8;4
13076000;Ludwigslust-Parchim;44,4;1
13075000;Vorpommern-Greifswald;95,8;1
14511000;Chemnitz, Stadt;95,6;5
14522000;Mittelsachsen;46,1;4
14523000;Vogtlandkreis;73,1;4
15002000;Halle (Saale), Stadt;127,7;5
14524000;Zwickau;63,5;4
14612000;Dresden, Stadt;68,7;5
14625000;Bautzen;57,5;4
14626000;Görlitz;74,5;4
14627000;Meißen;49,5;4
14628000;Sächsische Schweiz-Osterzgebirge;52,6;4
14729000;Leipzig;43,6;4
14730000;Nordsachsen;72,6;4
15001000;Dessau-Roßlau, Stadt;114;4
15081000;Altmarkkreis Salzwedel;50;1
15082000;Anhalt-Bitterfeld;53,9;4
16072000;Sonneberg;67,1;1
15083000;Börde;37,1;1
15084000;Burgenlandkreis;58,5;4
15085000;Harz;74,8;1
15086000;Jerichower Land;82,8;1
15089000;Salzlandkreis;74,4;4
15087000;Mansfeld-Südharz;54,9;1
15088000;Saalekreis;34,8;4
16052000;Gera, Stadt;101,9;4
15090000;Stendal;90,2;1
15091000;Wittenberg;48,2;1
16051000;Erfurt, Stadt;80,7;5
16061000;Eichsfeld;44,2;1
16062000;Nordhausen;119,2;1
16063000;Wartburgkreis;41,6;1
16064000;Unstrut-Hainich-Kreis;116,6;1
16065000;Kyffhäuserkreis;67;1
16077000;Altenburger Land;65,4;4
16066000;Schmalkalden-Meiningen;68,4;1
16067000;Gotha;39;4
16068000;Sömmerda;0;1
16069000;Hildburghausen;87,1;1
16070000;Ilm-Kreis;53;1
16071000;Weimarer Land;136,5;4
16073000;Saalfeld-Rudolstadt;90,3;1
16074000;Saale-Holzland-Kreis;79,1;1
16075000;Saale-Orla-Kreis;14,5;1
16076000;Greiz;43,3;4
