GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;05116;Mönchengladbach, kreisfreie Stadt;7559;7791;9268;11805;7262;5166;14627;16817;17567;15919;15001;15353;20274;21415;18559;27607;27675;259665
31.12.2020;05117;Mülheim an der Ruhr, kreisfreie Stadt;4919;5001;6196;7457;4514;3006;8531;10008;10587;10011;9733;10053;13815;13947;12213;18911;22019;170921
31.12.2020;05119;Oberhausen, kreisfreie Stadt;5898;6088;7416;9117;5597;3833;11023;12711;13624;13006;12750;12487;16415;17224;15553;23547;23277;209566
31.12.2020;05120;Remscheid, kreisfreie Stadt;3278;3310;4080;5206;3216;2218;5932;6358;6870;6340;6692;6864;9055;9440;8005;11493;13159;111516
31.12.2020;05122;Solingen, kreisfreie Stadt;4673;4689;5749;7492;4638;3196;8556;9371;10025;9628;9317;9594;13160;13595;11352;15601;18557;159193
31.12.2020;05124;Wuppertal, kreisfreie Stadt;10504;11018;13406;16704;10282;7154;21805;23782;24317;22108;20615;20828;27157;28042;23473;34797;39012;355004
31.12.2020;05154;Kleve, Landkreis;8689;8829;11230;14293;9070;6405;17625;18973;19769;18707;17894;19079;26253;27382;23046;34473;31869;313586
31.12.2020;05158;Mettmann, Landkreis;13340;14391;17843;22373;13580;9255;22945;23445;27425;28261;27725;29440;40401;42165;35137;52950;63646;484322
31.12.2020;05162;Rhein-Kreis Neuss;13040;13762;17333;21429;13049;8632;21816;22584;26195;27716;28384;28566;37915;38481;32382;48572;52145;452001
31.12.2020;05166;Viersen, Landkreis;7737;8238;10271;13266;8482;5868;14729;15517;16891;17149;16843;18110;26696;27875;22897;33432;34535;298536
31.12.2020;05170;Wesel, Landkreis;12148;12697;15829;19919;12660;8598;21653;23823;27582;26270;25556;26944;38151;41480;36423;55294;55086;460113
31.12.2020;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;05314;Bonn, kreisfreie Stadt;9622;9758;12737;15626;9327;7130;25499;26699;25498;22387;20094;19742;23622;23199;19364;28106;32169;330579
31.12.2020;05315;Köln, kreisfreie Stadt;32065;31352;38063;46612;26620;19195;70480;91651;93802;80082;73958;70143;81983;76506;60844;91210;98932;1083498
31.12.2020;05316;Leverkusen, kreisfreie Stadt;4876;4845;6247;7740;4846;3135;8611;9575;10225;9969;9926;10219;13404;13491;11136;15858;19802;163905
31.12.2020;05334;Städteregion Aachen, Landkreis;15072;14959;18574;23075;14764;12886;46403;45079;37397;32257;29722;30848;41153;42542;37028;56229;58643;556631
31.12.2020;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;05358;Düren, Landkreis;7795;7844;9426;12241;7536;5321;14814;15488;16325;15742;15029;15733;21459;22742;20043;29760;27842;265140
31.12.2020;05362;Rhein-Erft-Kreis;14003;14440;17972;22139;13440;9282;24490;24809;27967;28691;29023;29562;39029;39487;32831;50569;51877;469611
31.12.2020;05366;Euskirchen, Landkreis;5507;5533;6985;8894;5644;3875;9925;10180;11336;11383;11155;11525;16334;17751;15160;22388;20784;194359
